crsyr,origin_loc,cross_loc,us_loc,origin_coords,cross_coords,us_coords,flow
2004,Puebla,"Nogales, Sonora","Chicago, IL ","(-98.0, 18.833333)","(-108.9248649, 28.3713765)","(-88.125016, 42.371614)","LINESTRING (-98 18.833333, -108.9248649 28.3713765, -88.125016 42.371614)"
2002,Puebla,"Agua Prieta, Sonora","Denver, CO ","(-98.0, 18.833333)","(-109.5425509, 31.3179664)","(-104.9848623, 39.7392364)","LINESTRING (-98 18.833333, -109.5425509 31.3179664, -104.9848623 39.7392364)"
2004,Puebla,"Nogales, Sonora","Philadelphia, PA-NJ ","(-98.0, 18.833333)","(-108.9248649, 28.3713765)","(-75.1635262, 39.9527237)","LINESTRING (-98 18.833333, -108.9248649 28.3713765, -75.16352620000001 39.9527237)"
1983,Puebla,"Tijuana, Baja California del Norte","New York, NY ","(-98.0, 18.833333)","(-117.0412813, 32.5132984)","(-74.0060152, 40.7127281)","LINESTRING (-98 18.833333, -117.0412813 32.5132984, -74.00601519999999 40.7127281)"
2005,Puebla,"Naco, Sonora","Indianapolis, IN ","(-98.0, 18.833333)","(-109.9459547, 31.3229703)","(-85.8017583, 43.8808339)","LINESTRING (-98 18.833333, -109.9459547 31.3229703, -85.8017583 43.8808339)"
1995,Distrito Federal,"Tecate, Baja California del Norte","New York, NY ","(-99.1331785, 19.4326296)","(-116.5934782, 32.5791061)","(-74.0060152, 40.7127281)","LINESTRING (-99.1331785 19.4326296, -116.5934782 32.5791061, -74.00601519999999 40.7127281)"
2000,Distrito Federal,"Piedras Negras, Coahuila de Zaragoza","New York, NY ","(-99.1331785, 19.4326296)","(-100.5267104, 28.6998135)","(-74.0060152, 40.7127281)","LINESTRING (-99.1331785 19.4326296, -100.5267104 28.6998135, -74.00601519999999 40.7127281)"
2000,Puebla,"Altar, Sonora","Stockton-Lodi, CA ","(-98.0, 18.833333)","(-111.88979063990689, 31.09381305)","(-121.257813, 38.1307654)","LINESTRING (-98 18.833333, -111.8897906399069 31.09381305, -121.257813 38.1307654)"
1993,Puebla,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-98.0, 18.833333)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-98 18.833333, -117.0412813 32.5132984, -118.1362299 33.760599)"
1995,Querétaro,", Coahuila de Zaragoza","San Antonio, TX ","(-99.84756, 20.8542575)","(-101.0010806, 25.4120161)","(-98.4951405, 29.4246002)","LINESTRING (-99.84756 20.8542575, -101.0010806 25.4120161, -98.49514050000001 29.4246002)"
2005,Querétaro,"Matamoros, Tamaulipas","Houston, TX ","(-99.84756, 20.8542575)","(-97.5017951, 25.8520977)","(-95.3676974, 29.7589382)","LINESTRING (-99.84756 20.8542575, -97.5017951 25.8520977, -95.3676974 29.7589382)"
1986,Querétaro,"Agua Prieta, Sonora","Phoenix-Mesa, AZ ","(-99.84756, 20.8542575)","(-109.5425509, 31.3179664)","(-111.6526441150196, 33.30591455)","LINESTRING (-99.84756 20.8542575, -109.5425509 31.3179664, -111.6526441150196 33.30591455)"
1990,Querétaro,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -118.1362299 33.760599)"
1985,Querétaro,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -118.1362299 33.760599)"
1992,Querétaro,"Tijuana, Baja California del Norte","San Diego, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -117.1627728 32.7174202)"
2004,"Coyoacán, Distrito Federal","Tijuana, Baja California del Norte","San Diego, CA ","(-99.1623319, 19.3500942)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-99.1623319 19.3500942, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1980,Querétaro,"Tijuana, Baja California del Norte","San Diego, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -117.1627728 32.7174202)"
2004,"San Luis Potosí, San Luis Potosí","Agua Prieta, Sonora","Jacksonville, FL ","(-100.9763993, 22.1516472)","(-109.5425509, 31.3179664)","(-81.655651, 30.3321838)","LINESTRING (-100.9763993 22.1516472, -109.5425509 31.3179664, -81.65565100000001 30.3321838)"
1984,"Querétaro, Querétaro","Tijuana, Baja California del Norte","San Diego, CA ","(-100.3970593, 20.5954708)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-100.3970593 20.5954708, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1968,", México","Nogales, Sonora","San Diego, CA ","(-100.000037, 22.5000485)","(-108.9248649, 28.3713765)","(-117.1627728, 32.7174202)","LINESTRING (-100.000037 22.5000485, -108.9248649 28.3713765, -117.1627728 32.7174202)"
1994,"Cadereyta de Montes, Querétaro","Tijuana, Baja California del Norte","San Diego, CA ","(-99.6660444473338, 20.7912161)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-99.6660444473338 20.7912161, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1976,"Cadereyta de Montes, Querétaro","Tijuana, Baja California del Norte","San Diego, CA ","(-99.6660444473338, 20.7912161)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-99.6660444473338 20.7912161, -117.0412813 32.5132984, -117.1627728 32.7174202)"
2007,Querétaro,"Tijuana, Baja California del Norte","Orlando, FL ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-81.3790304, 28.5421109)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -81.3790304 28.5421109)"
1973,Querétaro,"Tijuana, Baja California del Norte","San Diego, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1984,"Querétaro, Querétaro","Tijuana, Baja California del Norte","Fresno, CA ","(-100.3970593, 20.5954708)","(-117.0412813, 32.5132984)","(-119.7848307, 36.7394421)","LINESTRING (-100.3970593 20.5954708, -117.0412813 32.5132984, -119.7848307 36.7394421)"
2000,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-103.6666671, 20.3333331)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-103.6666671 20.3333331, -117.0412813 32.5132984, -118.1362299 33.760599)"
1988,"Querétaro, Querétaro","Tijuana, Baja California del Norte","San Diego, CA ","(-100.3970593, 20.5954708)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-100.3970593 20.5954708, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1988,Querétaro,"Tijuana, Baja California del Norte","San Diego, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1987,Querétaro,"Tijuana, Baja California del Norte","San Diego, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -117.1627728 32.7174202)"
2005,Querétaro,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -118.1362299 33.760599)"
2000,Querétaro,"Naco, Sonora","Atlanta, GA ","(-99.84756, 20.8542575)","(-109.9459547, 31.3229703)","(-84.3902644, 33.7489924)","LINESTRING (-99.84756 20.8542575, -109.9459547 31.3229703, -84.39026440000001 33.7489924)"
1970,"Cadereyta de Montes, Querétaro","Piedras Negras, Coahuila de Zaragoza","Dallas, TX ","(-99.6660444473338, 20.7912161)","(-100.5267104, 28.6998135)","(-96.7968559, 32.7762719)","LINESTRING (-99.6660444473338 20.7912161, -100.5267104 28.6998135, -96.7968559 32.7762719)"
2005,"Querétaro, Querétaro","Nogales, Sonora","Phoenix-Mesa, AZ ","(-100.3970593, 20.5954708)","(-108.9248649, 28.3713765)","(-111.6526441150196, 33.30591455)","LINESTRING (-100.3970593 20.5954708, -108.9248649 28.3713765, -111.6526441150196 33.30591455)"
2006,"Querétaro, Querétaro","Tijuana, Baja California del Norte","San Diego, CA ","(-100.3970593, 20.5954708)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-100.3970593 20.5954708, -117.0412813 32.5132984, -117.1627728 32.7174202)"
2000,Querétaro,"General Plutarco Elías Calles, Sonora","Columbus, OH ","(-99.84756, 20.8542575)","(-112.71174894524103, 31.6949837)","(-83.0007065, 39.9622601)","LINESTRING (-99.84756 20.8542575, -112.711748945241 31.6949837, -83.00070650000001 39.9622601)"
1994,Querétaro,"Tijuana, Baja California del Norte","San Diego, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1993,Querétaro,"Tijuana, Baja California del Norte","San Diego, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1986,Querétaro,"Tijuana, Baja California del Norte","San Diego, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1984,Querétaro,"Tijuana, Baja California del Norte","San Diego, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -117.1627728 32.7174202)"
2000,Querétaro,"Tijuana, Baja California del Norte","San Diego, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1990,Querétaro,"Tijuana, Baja California del Norte","San Diego, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1986,Querétaro,"Tijuana, Baja California del Norte","San Diego, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1989,", Hidalgo","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-108.7598468, 31.801493)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-108.7598468 31.801493, -117.0412813 32.5132984, -118.1362299 33.760599)"
1982,"Coyoacán, Distrito Federal","Tijuana, Baja California del Norte","San Jose, CA ","(-99.1623319, 19.3500942)","(-117.0412813, 32.5132984)","(-121.890583, 37.3361905)","LINESTRING (-99.1623319 19.3500942, -117.0412813 32.5132984, -121.890583 37.3361905)"
1998,Querétaro,"Agua Prieta, Sonora","Indianapolis, IN ","(-99.84756, 20.8542575)","(-109.5425509, 31.3179664)","(-85.8017583, 43.8808339)","LINESTRING (-99.84756 20.8542575, -109.5425509 31.3179664, -85.8017583 43.8808339)"
1998,Querétaro,"Agua Prieta, Sonora","Indianapolis, IN ","(-99.84756, 20.8542575)","(-109.5425509, 31.3179664)","(-85.8017583, 43.8808339)","LINESTRING (-99.84756 20.8542575, -109.5425509 31.3179664, -85.8017583 43.8808339)"
2001,Querétaro,"Agua Prieta, Sonora","Louisville, KY-IN ","(-99.84756, 20.8542575)","(-109.5425509, 31.3179664)","(-85.759407, 38.2542376)","LINESTRING (-99.84756 20.8542575, -109.5425509 31.3179664, -85.759407 38.2542376)"
1981,Querétaro,"Nuevo Laredo, Tamaulipas","Miami, FL ","(-99.84756, 20.8542575)","(-99.5185992, 27.4761506)","(-80.19362, 25.7741728)","LINESTRING (-99.84756 20.8542575, -99.5185992 27.4761506, -80.19362 25.7741728)"
1996,Querétaro,"Ascención, Chihuahua","Charlottesville, VA ","(-99.84756, 20.8542575)","(-106.5272115, 31.7649741)","(-78.4766781, 38.029306)","LINESTRING (-99.84756 20.8542575, -106.5272115 31.7649741, -78.4766781 38.029306)"
2000,Distrito Federal,"Nogales, Sonora","Phoenix-Mesa, AZ ","(-99.1331785, 19.4326296)","(-108.9248649, 28.3713765)","(-111.6526441150196, 33.30591455)","LINESTRING (-99.1331785 19.4326296, -108.9248649 28.3713765, -111.6526441150196 33.30591455)"
1986,"Tecate, Baja California del Norte","General Plutarco Elías Calles, Sonora","Phoenix-Mesa, AZ ","(-116.5934782, 32.5791061)","(-112.71174894524103, 31.6949837)","(-111.6526441150196, 33.30591455)","LINESTRING (-116.5934782 32.5791061, -112.711748945241 31.6949837, -111.6526441150196 33.30591455)"
1999,Querétaro,"Ascención, Chihuahua","Louisville, KY-IN ","(-99.84756, 20.8542575)","(-106.5272115, 31.7649741)","(-85.759407, 38.2542376)","LINESTRING (-99.84756 20.8542575, -106.5272115 31.7649741, -85.759407 38.2542376)"
1964,Querétaro,"General Plutarco Elías Calles, Sonora","Austin-San Marcos, TX ","(-99.84756, 20.8542575)","(-112.71174894524103, 31.6949837)","(-97.9280021, 29.8861175)","LINESTRING (-99.84756 20.8542575, -112.711748945241 31.6949837, -97.9280021 29.8861175)"
1966,Querétaro,"Tijuana, Baja California del Norte","Yuma, AZ ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-114.47603157249804, 32.665135)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -114.476031572498 32.665135)"
1990,Distrito Federal,"Piedras Negras, Coahuila de Zaragoza","Austin-San Marcos, TX ","(-99.1331785, 19.4326296)","(-100.5267104, 28.6998135)","(-97.9280021, 29.8861175)","LINESTRING (-99.1331785 19.4326296, -100.5267104 28.6998135, -97.9280021 29.8861175)"
1977,Querétaro,"Piedras Negras, Coahuila de Zaragoza","Austin-San Marcos, TX ","(-99.84756, 20.8542575)","(-100.5267104, 28.6998135)","(-97.9280021, 29.8861175)","LINESTRING (-99.84756 20.8542575, -100.5267104 28.6998135, -97.9280021 29.8861175)"
1990,Querétaro,"Piedras Negras, Coahuila de Zaragoza","Austin-San Marcos, TX ","(-99.84756, 20.8542575)","(-100.5267104, 28.6998135)","(-97.9280021, 29.8861175)","LINESTRING (-99.84756 20.8542575, -100.5267104 28.6998135, -97.9280021 29.8861175)"
1986,Querétaro,"Tijuana, Baja California del Norte","San Diego, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1987,Querétaro,"Piedras Negras, Coahuila de Zaragoza","Brazoria, TX ","(-99.84756, 20.8542575)","(-100.5267104, 28.6998135)","(-95.4993375, 29.18161)","LINESTRING (-99.84756 20.8542575, -100.5267104 28.6998135, -95.4993375 29.18161)"
1989,Querétaro,"Piedras Negras, Coahuila de Zaragoza","Austin-San Marcos, TX ","(-99.84756, 20.8542575)","(-100.5267104, 28.6998135)","(-97.9280021, 29.8861175)","LINESTRING (-99.84756 20.8542575, -100.5267104 28.6998135, -97.9280021 29.8861175)"
1987,Querétaro,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -118.1362299 33.760599)"
1975,Querétaro,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -118.1362299 33.760599)"
2000,Querétaro,"Agua Prieta, Sonora","Orange County, CA ","(-99.84756, 20.8542575)","(-109.5425509, 31.3179664)","(-117.8704931, 33.7500378)","LINESTRING (-99.84756 20.8542575, -109.5425509 31.3179664, -117.8704931 33.7500378)"
1999,Distrito Federal,"Piedras Negras, Coahuila de Zaragoza","San Jose, CA ","(-99.1331785, 19.4326296)","(-100.5267104, 28.6998135)","(-121.890583, 37.3361905)","LINESTRING (-99.1331785 19.4326296, -100.5267104 28.6998135, -121.890583 37.3361905)"
1996,Querétaro,"Tijuana, Baja California del Norte","Orange County, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-117.8704931, 33.7500378)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -117.8704931 33.7500378)"
1978,Querétaro,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -118.1362299 33.760599)"
1992,Querétaro,"Tijuana, Baja California del Norte","Orange County, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-117.8704931, 33.7500378)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -117.8704931 33.7500378)"
1966,Querétaro,"Tijuana, Baja California del Norte","Stockton-Lodi, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-121.257813, 38.1307654)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -121.257813 38.1307654)"
1998,Querétaro,"Mexicali, Baja California del Norte","San Jose, CA ","(-99.84756, 20.8542575)","(-115.506256, 32.658421)","(-121.890583, 37.3361905)","LINESTRING (-99.84756 20.8542575, -115.506256 32.658421, -121.890583 37.3361905)"
1985,Querétaro,"Tijuana, Baja California del Norte","Orange County, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-117.8704931, 33.7500378)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -117.8704931 33.7500378)"
2009,Querétaro,"Tijuana, Baja California del Norte","San Jose, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-121.890583, 37.3361905)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -121.890583 37.3361905)"
2008,Querétaro,"Tijuana, Baja California del Norte","Orange County, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-117.8704931, 33.7500378)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -117.8704931 33.7500378)"
1988,Querétaro,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -118.1362299 33.760599)"
1980,Querétaro,"Tijuana, Baja California del Norte","Orange County, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-117.8704931, 33.7500378)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -117.8704931 33.7500378)"
1989,Querétaro,"Tijuana, Baja California del Norte","Orange County, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-117.8704931, 33.7500378)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -117.8704931 33.7500378)"
1990,Querétaro,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -118.1362299 33.760599)"
1976,Querétaro,"Tijuana, Baja California del Norte","Orange County, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-117.8704931, 33.7500378)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -117.8704931 33.7500378)"
1976,Querétaro,"Tijuana, Baja California del Norte","Orange County, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-117.8704931, 33.7500378)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -117.8704931 33.7500378)"
1989,Querétaro,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -118.1362299 33.760599)"
1979,Querétaro,"Tijuana, Baja California del Norte","Orange County, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-117.8704931, 33.7500378)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -117.8704931 33.7500378)"
2008,Querétaro,"Tijuana, Baja California del Norte","San Jose, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-121.890583, 37.3361905)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -121.890583 37.3361905)"
1981,Querétaro,"Tijuana, Baja California del Norte","Orange County, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-117.8704931, 33.7500378)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -117.8704931 33.7500378)"
1988,Querétaro,"Tijuana, Baja California del Norte","San Jose, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-121.890583, 37.3361905)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -121.890583 37.3361905)"
1990,Querétaro,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -118.1362299 33.760599)"
1979,Querétaro,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -118.1362299 33.760599)"
1993,Querétaro,"Tecate, Baja California del Norte","San Jose, CA ","(-99.84756, 20.8542575)","(-116.5934782, 32.5791061)","(-121.890583, 37.3361905)","LINESTRING (-99.84756 20.8542575, -116.5934782 32.5791061, -121.890583 37.3361905)"
1997,Querétaro,"Tijuana, Baja California del Norte","Orange County, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-117.8704931, 33.7500378)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -117.8704931 33.7500378)"
1998,Querétaro,"Juárez, Chihuahua","Orange County, CA ","(-99.84756, 20.8542575)","(-106.0277621, 28.6517723)","(-117.8704931, 33.7500378)","LINESTRING (-99.84756 20.8542575, -106.0277621 28.6517723, -117.8704931 33.7500378)"
1988,Querétaro,"Tijuana, Baja California del Norte","Orange County, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-117.8704931, 33.7500378)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -117.8704931 33.7500378)"
1980,Querétaro,"Agua Prieta, Sonora","Orange County, CA ","(-99.84756, 20.8542575)","(-109.5425509, 31.3179664)","(-117.8704931, 33.7500378)","LINESTRING (-99.84756 20.8542575, -109.5425509 31.3179664, -117.8704931 33.7500378)"
1987,Querétaro,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -118.1362299 33.760599)"
1990,Querétaro,"Piedras Negras, Coahuila de Zaragoza","Orange County, CA ","(-99.84756, 20.8542575)","(-100.5267104, 28.6998135)","(-117.8704931, 33.7500378)","LINESTRING (-99.84756 20.8542575, -100.5267104 28.6998135, -117.8704931 33.7500378)"
1992,Querétaro,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -118.1362299 33.760599)"
1976,Querétaro,"Tijuana, Baja California del Norte","Orange County, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-117.8704931, 33.7500378)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -117.8704931 33.7500378)"
1995,Querétaro,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -118.1362299 33.760599)"
1986,Querétaro,"Tijuana, Baja California del Norte","Orange County, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-117.8704931, 33.7500378)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -117.8704931 33.7500378)"
1990,Querétaro,"Tijuana, Baja California del Norte","Orange County, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-117.8704931, 33.7500378)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -117.8704931 33.7500378)"
1997,Querétaro,"Tecate, Baja California del Norte","San Jose, CA ","(-99.84756, 20.8542575)","(-116.5934782, 32.5791061)","(-121.890583, 37.3361905)","LINESTRING (-99.84756 20.8542575, -116.5934782 32.5791061, -121.890583 37.3361905)"
1992,Querétaro,"Tijuana, Baja California del Norte","Orange County, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-117.8704931, 33.7500378)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -117.8704931 33.7500378)"
1999,Querétaro,"Tecate, Baja California del Norte","Orange County, CA ","(-99.84756, 20.8542575)","(-116.5934782, 32.5791061)","(-117.8704931, 33.7500378)","LINESTRING (-99.84756 20.8542575, -116.5934782 32.5791061, -117.8704931 33.7500378)"
1992,Querétaro,"Tijuana, Baja California del Norte","Orange County, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-117.8704931, 33.7500378)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -117.8704931 33.7500378)"
1996,Querétaro,"Tijuana, Baja California del Norte","Orange County, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-117.8704931, 33.7500378)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -117.8704931 33.7500378)"
1982,Querétaro,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -118.1362299 33.760599)"
1996,Querétaro,"Tecate, Baja California del Norte","Ventura, CA ","(-99.84756, 20.8542575)","(-116.5934782, 32.5791061)","(-119.0779359, 34.4458248)","LINESTRING (-99.84756 20.8542575, -116.5934782 32.5791061, -119.0779359 34.4458248)"
1983,Querétaro,"Tijuana, Baja California del Norte","San Jose, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-121.890583, 37.3361905)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -121.890583 37.3361905)"
1983,Querétaro,"Tijuana, Baja California del Norte","Orange County, CA ","(-99.84756, 20.8542575)","(-117.0412813, 32.5132984)","(-117.8704931, 33.7500378)","LINESTRING (-99.84756 20.8542575, -117.0412813 32.5132984, -117.8704931 33.7500378)"
