crsyr1,origin_loc,cross_loc,us_loc,origin_coords,cross_coords,us_coords
1967,"Mexicali, Baja California del Norte","Tijuana, Baja California del Norte","San Francisco, CA ","(-115.448325, 32.6248622)","(-116.964662, 32.5010188)","(-122.419906, 37.7790262)"
1972,"Culiacan, Sinaloa","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-107.393395, 24.7978965)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1991,Puebla,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-98.0, 18.833333)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1988,"Ciudad de México, Distrito Federal","Juárez, Chihuahua",,"(-99.1248161, 19.3997047)","(-106.0277621, 28.6517723)","(11.0480288, 46.3144754)"
1977,Puebla,"Tijuana, Baja California del Norte","Orange County, CA ","(-98.0, 18.833333)","(-116.964662, 32.5010188)","(-117.8704931, 33.7500378)"
1986,Puebla,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-98.0, 18.833333)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1946,Puebla,"Reynosa, Tamaulipas",,"(-98.0, 18.833333)","(-98.2963932, 26.0704018)","(11.0480288, 46.3144754)"
1982,Puebla,"Nuevo Laredo, Tamaulipas","Houston, TX ","(-98.0, 18.833333)","(-99.5185992, 27.4761506)","(-95.3676974, 29.7589382)"
1988,Puebla,"Tijuana, Baja California del Norte","San Diego, CA ","(-98.0, 18.833333)","(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1991,", Puebla","Nogales, Sonora","San Francisco, CA ","(-98.0, 18.833333)","(-108.9620954, 30.2074686)","(-122.419906, 37.7790262)"
1974,Puebla,"Nuevo Laredo, Tamaulipas","Austin-San Marcos, TX ","(-98.0, 18.833333)","(-99.5185992, 27.4761506)","(-97.9280021, 29.8861175)"
1989,Puebla,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-98.0, 18.833333)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1994,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-99.1248161, 19.3997047)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1970,Guanajuato,"Tecate, Baja California del Norte","Bakersfield, CA ","(-101.0, 20.9876996)","(-116.6298787, 32.5653831)","(-119.0194639, 35.3738712)"
1982,Guanajuato,"Tijuana, Baja California del Norte","Fresno, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-119.7848307, 36.7394421)"
1947,Guanajuato,"Reynosa, Tamaulipas","McAllen-Edinburg-Mission, TX ","(-101.0, 20.9876996)","(-98.2963932, 26.0704018)",Fail
1973,Guanajuato,"Tijuana, Baja California del Norte",,"(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(11.0480288, 46.3144754)"
1972,Guanajuato,"Tijuana, Baja California del Norte","Bakersfield, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-119.0194639, 35.3738712)"
1990,"Monterrey, Nuevo León","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-100.315258, 25.6802019)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1972,"Reynosa, Tamaulipas","Tijuana, Baja California del Norte","Orange County, CA ","(-98.2963932, 26.0704018)","(-116.964662, 32.5010188)","(-117.8704931, 33.7500378)"
1973,"Irapuato, Guanajuato","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.3521052, 20.6758761)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1972,"Mazatlán, Sinaloa","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-106.4153144, 23.2313053)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1989,"Iztapalapa, Distrito Federal","Tijuana, Baja California del Norte","San Diego, CA ","(-99.0929294, 19.3591195)","(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1972,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1987,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1970,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1992,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1982,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1982,", Zacatecas","Tijuana, Baja California del Norte","Fresno, CA ","(-103.20856984509811, 23.0823582)","(-116.964662, 32.5010188)","(-119.7848307, 36.7394421)"
1989,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1983,Guanajuato,"Tijuana, Baja California del Norte",,"(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(11.0480288, 46.3144754)"
1978,Guanajuato,"Tijuana, Baja California del Norte","Fresno, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-119.7848307, 36.7394421)"
1970,Guanajuato,"Tijuana, Baja California del Norte","Houston, TX ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-95.3676974, 29.7589382)"
1970,Guanajuato,"Nuevo Laredo, Tamaulipas","Las Cruces, NM ","(-101.0, 20.9876996)","(-99.5185992, 27.4761506)","(-106.7798078, 32.3140354)"
1990,Guanajuato,"Tijuana, Baja California del Norte","Fresno, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-119.7848307, 36.7394421)"
1977,Guanajuato,"Nuevo Laredo, Tamaulipas","Miami, FL ","(-101.0, 20.9876996)","(-99.5185992, 27.4761506)","(-80.19362, 25.7741728)"
1971,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1995,Guanajuato,"Tijuana, Baja California del Norte","Fresno, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-119.7848307, 36.7394421)"
1973,"Río Bravo, Tamaulipas","Nuevo Laredo, Tamaulipas","Houston, TX ","(-98.0976088, 25.9869955)","(-99.5185992, 27.4761506)","(-95.3676974, 29.7589382)"
1982,Guanajuato,"Nuevo Laredo, Tamaulipas","Houston, TX ","(-101.0, 20.9876996)","(-99.5185992, 27.4761506)","(-95.3676974, 29.7589382)"
1972,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1971,Guanajuato,"Tijuana, Baja California del Norte","Houston, TX ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-95.3676974, 29.7589382)"
1972,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1983,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1982,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1981,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1972,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1981,Guanajuato,"Tijuana, Baja California del Norte",,"(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(11.0480288, 46.3144754)"
1981,Guanajuato,"Tijuana, Baja California del Norte","Houston, TX ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-95.3676974, 29.7589382)"
1950,Guanajuato,"Juárez, Chihuahua","El Paso, TX ","(-101.0, 20.9876996)","(-106.0277621, 28.6517723)","(-106.464634, 31.7754152)"
1989,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1978,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1982,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1977,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1976,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1975,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1989,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1986,Guanajuato,"San Luis Río Colorado, Sonora","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-114.29077314185326, 31.9939146)","(-118.2400932, 33.7689643)"
1983,Guanajuato,"Reynosa, Tamaulipas","Houston, TX ","(-101.0, 20.9876996)","(-98.2963932, 26.0704018)","(-95.3676974, 29.7589382)"
1982,Guanajuato,"Nuevo Laredo, Tamaulipas","Houston, TX ","(-101.0, 20.9876996)","(-99.5185992, 27.4761506)","(-95.3676974, 29.7589382)"
1986,"Ciudad de México, Distrito Federal","Nuevo Laredo, Tamaulipas","Houston, TX ","(-99.1248161, 19.3997047)","(-99.5185992, 27.4761506)","(-95.3676974, 29.7589382)"
1972,Guanajuato,"Nuevo Laredo, Tamaulipas","Houston, TX ","(-101.0, 20.9876996)","(-99.5185992, 27.4761506)","(-95.3676974, 29.7589382)"
1947,"Irapuato, Guanajuato","Nuevo Laredo, Tamaulipas","Dallas, TX ","(-101.3521052, 20.6758761)","(-99.5185992, 27.4761506)","(-96.7968559, 32.7762719)"
1973,Guanajuato,"Nuevo Laredo, Tamaulipas","Houston, TX ","(-101.0, 20.9876996)","(-99.5185992, 27.4761506)","(-95.3676974, 29.7589382)"
1968,Guanajuato,"Tijuana, Baja California del Norte","Houston, TX ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-95.3676974, 29.7589382)"
1973,"Valle de Santiago, Guanajuato","Reynosa, Tamaulipas","Amarillo, TX ","(-101.2585342318225, 20.3968029)","(-98.2963932, 26.0704018)","(-101.8338246, 35.2072185)"
1989,Guanajuato,"Tijuana, Baja California del Norte","Fresno, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-119.7848307, 36.7394421)"
1975,Guanajuato,"Nuevo Laredo, Tamaulipas","Houston, TX ","(-101.0, 20.9876996)","(-99.5185992, 27.4761506)","(-95.3676974, 29.7589382)"
1987,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1986,"Mazatlán, Sinaloa","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-106.4153144, 23.2313053)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1989,Guanajuato,"Tijuana, Baja California del Norte",,"(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(11.0480288, 46.3144754)"
1973,Guanajuato,"Nuevo Laredo, Tamaulipas","Houston, TX ","(-101.0, 20.9876996)","(-99.5185992, 27.4761506)","(-95.3676974, 29.7589382)"
1978,"Tecate, Baja California del Norte","Nuevo Laredo, Tamaulipas","Houston, TX ","(-116.6298787, 32.5653831)","(-99.5185992, 27.4761506)","(-95.3676974, 29.7589382)"
1981,"Tecate, Baja California del Norte","Nuevo Laredo, Tamaulipas","Houston, TX ","(-116.6298787, 32.5653831)","(-99.5185992, 27.4761506)","(-95.3676974, 29.7589382)"
1981,Guanajuato,"Nuevo Laredo, Tamaulipas","Houston, TX ","(-101.0, 20.9876996)","(-99.5185992, 27.4761506)","(-95.3676974, 29.7589382)"
1980,Guanajuato,"Nuevo Laredo, Tamaulipas","Houston, TX ","(-101.0, 20.9876996)","(-99.5185992, 27.4761506)","(-95.3676974, 29.7589382)"
1981,Guanajuato,"Nuevo Laredo, Tamaulipas","Houston, TX ","(-101.0, 20.9876996)","(-99.5185992, 27.4761506)","(-95.3676974, 29.7589382)"
1988,Guanajuato,"Nuevo Laredo, Tamaulipas","Ventura, CA ","(-101.0, 20.9876996)","(-99.5185992, 27.4761506)","(-119.0779359, 34.4458248)"
1980,Guanajuato,"Nuevo Laredo, Tamaulipas","Houston, TX ","(-101.0, 20.9876996)","(-99.5185992, 27.4761506)","(-95.3676974, 29.7589382)"
1979,"Ciudad de México, Distrito Federal","Nuevo Laredo, Tamaulipas","Houston, TX ","(-99.1248161, 19.3997047)","(-99.5185992, 27.4761506)","(-95.3676974, 29.7589382)"
1962,Guanajuato,"Reynosa, Tamaulipas","Stockton-Lodi, CA ","(-101.0, 20.9876996)","(-98.2963932, 26.0704018)","(-121.257813, 38.1307654)"
1969,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte","Fresno, CA ","(-99.1248161, 19.3997047)","(-116.964662, 32.5010188)","(-119.7848307, 36.7394421)"
1978,Guanajuato,"Nuevo Laredo, Tamaulipas","Houston, TX ","(-101.0, 20.9876996)","(-99.5185992, 27.4761506)","(-95.3676974, 29.7589382)"
1942,Guanajuato,"Nuevo Laredo, Tamaulipas","Houston, TX ","(-101.0, 20.9876996)","(-99.5185992, 27.4761506)","(-95.3676974, 29.7589382)"
1975,Guanajuato,"Tijuana, Baja California del Norte","Fresno, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-119.7848307, 36.7394421)"
1996,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1984,Guanajuato,"Matamoros, Tamaulipas","Houston, TX ","(-101.0, 20.9876996)","(-97.5017951, 25.8520977)","(-95.3676974, 29.7589382)"
1973,Guanajuato,"Tijuana, Baja California del Norte","Houston, TX ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-95.3676974, 29.7589382)"
1968,Guanajuato,"Nuevo Laredo, Tamaulipas","Houston, TX ","(-101.0, 20.9876996)","(-99.5185992, 27.4761506)","(-95.3676974, 29.7589382)"
1980,Guanajuato,"Nuevo Laredo, Tamaulipas","Houston, TX ","(-101.0, 20.9876996)","(-99.5185992, 27.4761506)","(-95.3676974, 29.7589382)"
1973,Guanajuato,"Tijuana, Baja California del Norte","Fresno, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-119.7848307, 36.7394421)"
1976,Guanajuato,"Tijuana, Baja California del Norte","Fresno, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-119.7848307, 36.7394421)"
1971,Guanajuato,"Tijuana, Baja California del Norte","Fresno, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-119.7848307, 36.7394421)"
1982,Guanajuato,"Matamoros, Tamaulipas","Houston, TX ","(-101.0, 20.9876996)","(-97.5017951, 25.8520977)","(-95.3676974, 29.7589382)"
1995,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1948,Guanajuato,"Tijuana, Baja California del Norte","Fresno, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-119.7848307, 36.7394421)"
1979,Guanajuato,"Tijuana, Baja California del Norte","Fresno, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-119.7848307, 36.7394421)"
1973,Guanajuato,"Nuevo Laredo, Tamaulipas",,"(-101.0, 20.9876996)","(-99.5185992, 27.4761506)","(11.0480288, 46.3144754)"
1975,Guanajuato,"Nuevo Laredo, Tamaulipas","Houston, TX ","(-101.0, 20.9876996)","(-99.5185992, 27.4761506)","(-95.3676974, 29.7589382)"
1960,Guanajuato,"Nuevo Laredo, Tamaulipas","Houston, TX ","(-101.0, 20.9876996)","(-99.5185992, 27.4761506)","(-95.3676974, 29.7589382)"
1972,Guanajuato,"Tijuana, Baja California del Norte",,"(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(11.0480288, 46.3144754)"
1971,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1972,Guanajuato,"Tijuana, Baja California del Norte","Chicago, IL ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-87.6244212, 41.8755616)"
1978,"Ciudad de México, Distrito Federal","Nuevo Laredo, Tamaulipas","Houston, TX ","(-99.1248161, 19.3997047)","(-99.5185992, 27.4761506)","(-95.3676974, 29.7589382)"
1986,"Ciudad de México, Distrito Federal","Matamoros, Tamaulipas","Houston, TX ","(-99.1248161, 19.3997047)","(-97.5017951, 25.8520977)","(-95.3676974, 29.7589382)"
1976,"Tecate, Baja California del Norte","Tijuana, Baja California del Norte","Merced, CA ","(-116.6298787, 32.5653831)","(-116.964662, 32.5010188)","(-120.7678602, 37.1641544)"
1987,"Querétaro, Querétaro","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-100.3970593, 20.5954708)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1985,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1977,"Ciudad de México, Distrito Federal","Reynosa, Tamaulipas","Houston, TX ","(-99.1248161, 19.3997047)","(-98.2963932, 26.0704018)","(-95.3676974, 29.7589382)"
1986,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1986,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1986,"Tecate, Baja California del Norte","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-116.6298787, 32.5653831)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1979,Guanajuato,"Nuevo Laredo, Tamaulipas","Houston, TX ","(-101.0, 20.9876996)","(-99.5185992, 27.4761506)","(-95.3676974, 29.7589382)"
1981,"Cochoapa el Grande, Jalisco","Nuevo Laredo, Tamaulipas","Houston, TX ",Fail,"(-99.5185992, 27.4761506)","(-95.3676974, 29.7589382)"
1995,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1984,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1983,Jalisco,"Tijuana, Baja California del Norte","San Jose, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-121.890583, 37.3361905)"
1989,"Autlán de Navarro, Jalisco","Tijuana, Baja California del Norte",,"(-104.31834015548738, 19.75703)","(-116.964662, 32.5010188)","(11.0480288, 46.3144754)"
1980,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1991,Jalisco,"Tijuana, Baja California del Norte","Oakland, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-122.2713563, 37.8044557)"
1986,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1941,"Morelia, Michoacán","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.1923818, 19.7027116)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1948,Jalisco,"Mexicali, Baja California del Norte","Sacramento, CA ","(-103.6666671, 20.3333331)","(-115.448325, 32.6248622)","(-121.493895, 38.5810606)"
1984,"Chiquilistlán, Jalisco","Tijuana, Baja California del Norte","San Francisco, CA ","(-103.88157852559075, 20.080107599999998)","(-116.964662, 32.5010188)","(-122.419906, 37.7790262)"
1975,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1990,Jalisco,"Tijuana, Baja California del Norte","Oakland, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-122.2713563, 37.8044557)"
1989,Jalisco,"Nogales, Sonora","Sacramento, CA ","(-103.6666671, 20.3333331)","(-108.9620954, 30.2074686)","(-121.493895, 38.5810606)"
1996,Jalisco,"Tijuana, Baja California del Norte","Oakland, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-122.2713563, 37.8044557)"
1978,Jalisco,"Tijuana, Baja California del Norte","San Jose, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-121.890583, 37.3361905)"
1990,"Manzanillo, Colima","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-104.28412563007706, 19.127656950000002)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1988,Jalisco,"Tijuana, Baja California del Norte","San Jose, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-121.890583, 37.3361905)"
1971,Jalisco,"Nogales, Sonora","Phoenix-Mesa, AZ ","(-103.6666671, 20.3333331)","(-108.9620954, 30.2074686)","(-111.6526441150196, 33.30591455)"
1993,Jalisco,"Tijuana, Baja California del Norte","Orange County, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-117.8704931, 33.7500378)"
1989,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1989,Jalisco,"Tijuana, Baja California del Norte","San Jose, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-121.890583, 37.3361905)"
1984,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1988,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1989,"Tijuana, Baja California del Norte","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-116.964662, 32.5010188)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1989,Jalisco,"Tijuana, Baja California del Norte","San Jose, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-121.890583, 37.3361905)"
1989,"Mazatlán, Sinaloa","Tijuana, Baja California del Norte","Oakland, CA ","(-106.4153144, 23.2313053)","(-116.964662, 32.5010188)","(-122.2713563, 37.8044557)"
1991,Jalisco,"Tijuana, Baja California del Norte","Ventura, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-119.0779359, 34.4458248)"
1973,Jalisco,"Tijuana, Baja California del Norte","San Francisco, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-122.419906, 37.7790262)"
1980,Jalisco,"Tijuana, Baja California del Norte","Ventura, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-119.0779359, 34.4458248)"
1979,Jalisco,"Tijuana, Baja California del Norte","San Jose, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-121.890583, 37.3361905)"
1984,Jalisco,"Tijuana, Baja California del Norte","San Jose, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-121.890583, 37.3361905)"
1988,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1983,Jalisco,"Tijuana, Baja California del Norte","Orange County, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-117.8704931, 33.7500378)"
1984,Jalisco,"Tijuana, Baja California del Norte","San Jose, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-121.890583, 37.3361905)"
1997,Jalisco,"Mexicali, Baja California del Norte","Oakland, CA ","(-103.6666671, 20.3333331)","(-115.448325, 32.6248622)","(-122.2713563, 37.8044557)"
1992,Jalisco,"Tijuana, Baja California del Norte","Oakland, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-122.2713563, 37.8044557)"
1989,Jalisco,"Tijuana, Baja California del Norte","Oakland, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-122.2713563, 37.8044557)"
1979,Jalisco,"Tijuana, Baja California del Norte","San Jose, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-121.890583, 37.3361905)"
1989,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1989,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1982,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1989,Jalisco,"Tijuana, Baja California del Norte","Oakland, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-122.2713563, 37.8044557)"
1970,Jalisco,"Tijuana, Baja California del Norte",,"(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(11.0480288, 46.3144754)"
1988,Jalisco,"Tijuana, Baja California del Norte","Portland-Vancouver, OR-WA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-122.65670323003644, 45.637796949999995)"
1997,Jalisco,"Tecate, Baja California del Norte","Oakland, CA ","(-103.6666671, 20.3333331)","(-116.6298787, 32.5653831)","(-122.2713563, 37.8044557)"
1987,Jalisco,"Tijuana, Baja California del Norte","Washington, DC-MD-VA-WV ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)",Fail
1991,Jalisco,"Tijuana, Baja California del Norte","Oakland, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-122.2713563, 37.8044557)"
1992,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte","Oakland, CA ","(-99.1248161, 19.3997047)","(-116.964662, 32.5010188)","(-122.2713563, 37.8044557)"
